METHOD,SERVICE,SUBAREA,P,SOLUTION,STATUS,REL_GAP,FINAL_TIME,BEST_BOUND_EXACT,GAP_REAL
exact,lycee,commune,246,38516683.5558258,Optimal,0.00009748156558,1866.35300707817,,
exact,lycee,commune,281,37498314.3730517,Optimal,0.000046330706234,1967.71673202515,,
exact,lycee,commune,316,36793942.5598041,Optimal,0.000065078610182,1950.4328019619,,
exact,lycee,commune,352,36268788.269037,Optimal,0.000020972823506,1126.59097313881,,
exact,lycee,commune,387,35893908.0991354,Optimal,0.000003923268757,301.992324113846,,
exact,lycee,commune,422,35611382.3154521,Optimal,0.000078803849083,244.598968029022,,
exact,lycee,commune,457,35402160.2728107,Optimal,0.000066545846356,428.07642698288,,
exact,poste,null,476,77581321.2778522,Optimal,0.000028912060481,796.785578966141,#NOM ?,
exact,poste,null,544,76685957.5774072,Optimal,0.000070675095877,376.059423923492,#NOM ?,
exact,poste,null,612,76065859.8505556,Optimal,0.000059123513551,355.195868968964,#NOM ?,
exact,poste,null,681,75663280.8816587,Optimal,0.000089003257955,208.929743051529,#NOM ?,
exact,poste,null,749,75389788.5022951,Optimal,0.00002727351507,198.435050010681,#NOM ?,
exact,poste,null,817,75220375.6383182,Optimal,0.000018279605117,318.050889968872,#NOM ?,
exact,poste,null,855,75121571.9449422,Optimal,0.000012373027525,150.786092996597,#NOM ?,
exact,poste,arrond,476,77581747.7348204,Optimal,0.000034969874434,407.981611013413,,
exact,poste,arrond,544,76686229.6814201,Optimal,0.000066947496677,944.596181869507,,
exact,poste,arrond,612,76066616.166418,Optimal,0.000078815479421,381.73238992691,,
exact,poste,arrond,681,75658244.6615212,Optimal,0.000022101898496,216.814470052719,,
exact,poste,arrond,749,75389646.1420868,Optimal,0.000024762799011,369.314305067062,,
exact,poste,arrond,817,75220416.4969325,Optimal,0.000018724783228,307.800952196121,,
exact,poste,arrond,855,75123803.5647234,Optimal,0.000056737233331,261.434437036514,,
exact,poste,EPCI,476,77581790.8841261,Optimal,0.000032591182798,1189.22522091866,,
exact,poste,EPCI,544,76686006.3191195,Optimal,0.000074369553214,876.822879076004,,
exact,poste,EPCI,612,76068793.0619032,Optimal,0.000095665582281,227.970700025558,,
exact,poste,EPCI,681,75658566.6196483,Optimal,0.000035841831036,427.262016057968,,
exact,poste,EPCI,749,75389650.7311566,Optimal,0.000025805997504,372.733832836151,,
exact,poste,EPCI,817,75220394.4765755,Optimal,0.000018442607678,335.495176076889,,
exact,poste,EPCI,855,75121589.4254389,Optimal,0.00001392869152,162.673454046249,,
exact,poste,canton,476,77938978.4873144,Optimal,0.000099924216443,1019.51850199699,,
